URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Дом,Кол-во этажей,Площадь,Площадь участка,Отопление,Состояние,Телефон,Интернет,Санузел,Канализация,Питьевая вода,Электричество,Газ,Мебель,Пол,Безопасность,Высота потолков,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Разное,Серия,Входная дверь,Местоположение,Коммуникации,Парковка
,"Дом, 4-комн., 150 м2",Чуйская область,Бишкек,с. Верхний Орок,$ 48 500,от собственника,"кирпичный, 2024 г.",1,"150 м2, жилая: 150 м2, кухня: 150 м2",4 сотки,без отопления,не достроено,возможно подключение,проводной,нет,центральная,возможно подведение,есть,возможно подключение,пустая,плитка,"решетки на окнах, видеонаблюдение",230 м.,"договор купли-продажи, зеленая книга",нет,нет,рассмотрю варианты,навес,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 160 м2",Чуйская область,Бишкек,с. Маевка,$ 140 000,от собственника,"кирпичный, 1990 г.",2,"160 м2, жилая: 118 м2, кухня: 15 м2",6 соток,на газе,хорошее,есть,оптика,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",2.4 м.,"договор дарения, красная книга, технический паспорт",нет,есть,обмен не предлагать,"бассейн, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 68 м2",Чуйская область,Бишкек,с. Маевка,$ 51 000,от собственника,кирпичный,1,68 м2,3 сотки,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,ламинат,охрана,2800 м.,договор купли-продажи,нет,есть,обмен не предлагать,"пластиковые окна, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 157 м2",Чуйская область,Бишкек,Ала-Тоо м-н 64,$ 198 000,от собственника,"кирпичный, 2005 г.",2,"157 м2, жилая: 157 м2, кухня: 20 м2",4.9 сотки,смешанное,хорошее,есть,adsl,раздельный,возможно подведение,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение",250 м.,"договор купли-продажи, технический паспорт",есть,есть,рассмотрю варианты,"пластиковые окна, сад, баня, хозпостройки, навес, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 542 м2",Чуйская область,Бишкек,Пишпек ж/м,$ 360 000,от собственника,"кирпичный, 2020 г.",3,542 м2,6 соток,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"решетки на окнах, видеонаблюдение",3 м.,"технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, баня, хозпостройки, навес, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 165 м2",Чуйская область,Бишкек,Гоин,$ 190 000,от собственника,"кирпичный, 2010 г.",1,"165 м2, жилая: 110 м2, кухня: 18 м2",7 соток,на газе,хорошее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 120 м2",Чуйская область,Бишкек,Карагачевая роща,$ 75 000,от собственника,"кирпичный, 2024 г.",1,120 м2,4 сотки,на газе,под самоотделку (псо),нет,оптика,2 с/у и более,септик,скважина,есть,магистральный,полностью меблирована,ламинат,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",2.4 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"бассейн, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 220 м2",Чуйская область,Бишкек,Аламединский рынок,$ 210 000,от агента,"кирпичный, 2022 г.",2,"220 м2, кухня: 14 м2",6.87 соток,на газе,под самоотделку (псо),есть,проводной,совмещенный,септик,центральное водоснабжение,есть,автономный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение",3 м.,"красная книга, договор дарения, технический паспорт",нет,нет,обмен не предлагать,"бассейн, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 67.5 м2",Чуйская область,Бишкек,Советская - Щербакова,$ 83 000,от собственника,кирпичный,1,"67.5 м2, жилая: 52 м2, кухня: 17 м2",3 сотки,смешанное,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"решетки на окнах, видеонаблюдение",2.5 м.,договор купли-продажи,нет,нет,обмен не предлагать,"бассейн, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 76 м2",Иссык-Кульская область,с. Бостери,,$ 79 000,от собственника,"кирпичный, 2022 г.",1,"76 м2, жилая: 76 м2, кухня: 15 м2",5 соток,электрическое,евроремонт,нет,adsl,совмещенный,центральная,центральное водоснабжение,есть,нет,полностью меблирована,паркет,"решетки на окнах, сигнализация, охрана, видеонаблюдение",3.2 м.,"договор купли-продажи, договор долевого участия",нет,нет,рассмотрю варианты,"пластиковые окна, бассейн, хозпостройки, навес, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 188 м2",Ошская область,Ош 7/Сатиева,,$ 230 000,от собственника,кирпичный,2,188 м2,5 соток,на газе,евроремонт,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",2.4 м.,красная книга,есть,есть,рассмотрю варианты,"бассейн, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
