URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Площадь участка,Местоположение,Коммуникации,Разное,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена
,"Участок, 4.5 сотки",Чуйская область,Бишкек,Полицейский городок м-н,$ 99 000,от собственника,4.5 сотки,,"газ, свет, вода, канализация","ровный, все документы, удобный въезд","договор купли-продажи, красная книга",,,
,"Участок, 4 сотки",Чуйская область,с. Арчалы,,$ 38 000,от собственника,4 сотки,в пригороде,"свет, интернет, вода","ровный, все документы, удобный въезд",красная книга,,,
,"Участок, 200 соток",Чуйская область,Бишкек,ж/м Биримдик Кут,$ 345 000,от агента,200 соток,,"свет, вода",,договор купли-продажи,,,
,"Участок, 12 соток",Чуйская область,с. Кызыл-Туу,,$ 29 000,от собственника,12 соток,в пригороде,свет,"ровный, все документы, удобный въезд",красная книга,,есть,рассмотрю варианты
,"Участок, 1800 соток",Чуйская область,Токмок,,$ 1 390 000,от собственника,1800 соток,в пригороде,"свет, вода","сад, огорожен, удобно под коммерцию, дом, удобный въезд, все документы",красная книга,есть,есть,с доплатой покупателя
,"Участок, 150 соток",Чуйская область,Бишкек,Оскон-Ордо ж/м,$ 112 500,от собственника,150 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, госакт, дом, ровный, все документы",договор купли-продажи,нет,есть,с доплатой покупателя
,"Участок, 3 сотки",с. Байтик,Эшмамбет уулу Асылбека,,$ 59 500,от собственника,3 сотки,в городе,"свет, вода","огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы",красная книга,нет,есть,с доплатой покупателя
,"Участок, 19 соток",Чуйская область,с. Новопокровка,,$ 200 000,от собственника,19 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, госакт, дом, ровный, все документы",договор купли-продажи,нет,есть,с доплатой покупателя
,"Участок, 4.5 сотки",Чуйская область,Бишкек,Тоголок-Молдо - БЧК,$ 120 000,от собственника,4.5 сотки,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, госакт, дом, ровный, все документы","технический паспорт, красная книга, свидетельство о праве на наследство",нет,есть,с доплатой покупателя
,"Участок, 75 соток",с. Ленинское,Алматинка,,$ 560 000,от агента,75 соток,в городе,"свет, газ, вода","огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 240 000,от агента,8 соток,в городе,"свет, газ, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы","договор купли-продажи, красная книга, технический паспорт",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 250 000,от агента,8 соток,в городе,"свет, газ, интернет, вода","удобно под коммерцию, времянка, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 40 соток",Чуйская область,Бишкек,Керамическая ж/м,$ 490 000,от агента,40 соток,в городе,"свет, газ, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт",нет,есть,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,КНУ,$ 285 000,от агента,7 соток,в городе,"свет, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,с. Кок-Джар,$ 100 000,от агента,4 сотки,в городе,"свет, газ, вода","огорожен, удобно под коммерцию, времянка, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,с. Сарбан,$ 64 000,от агента,8 соток,в пригороде,"свет, вода","сад, огорожен, госакт, ровный, все документы","красная книга, свидетельство о праве на наследство",нет,есть,обмен не предлагать
,"Участок, 9.5 соток",Чуйская область,Бишкек,с. Верхний Орок,$ 75 000,от агента,9.5 соток,в пригороде,"свет, интернет, вода","сад, огорожен, госакт, ровный, все документы","красная книга, свидетельство о праве на наследство",нет,есть,обмен не предлагать
,"Участок, 12 соток",Иссык-Кульская область,с. Тамчы,,$ 75 000,от агента,12 соток,в пригороде,"свет, интернет, вода","сад, огорожен, госакт, ровный, все документы","красная книга, свидетельство о праве на наследство",нет,есть,рассмотрю варианты
,"Участок, 5 соток",с. Кара Джыгач,Проектируемая,,$ 60 000,от агента,5 соток,в городе,"свет, вода","ровный, все документы",красная книга,нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Арашан,,$ 93 000,от агента,8 соток,в предгорьях,"свет, интернет, вода",все документы,красная книга,нет,есть,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,ТЭЦ,$ 255 000,от агента,4 сотки,в предгорьях,"свет, газ, отопление, вода, канализация","огорожен, удобно под коммерцию, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 6 соток",Чуйская область,с. Дружба,,$ 35 000,от агента,6 соток,в предгорьях,"свет, газ, отопление, вода, канализация","огорожен, удобно под коммерцию, все документы","красная книга, договор купли-продажи",нет,есть,обмен не предлагать
,"Участок, 400 соток",Чуйская область,с. Джер-Казар,,$ 24 000,от собственника,400 соток,в пригороде,вода,"госакт, все документы","договор купли-продажи, красная книга, зеленая книга",есть,есть,с доплатой покупателя
,"Участок, 5 соток",Чуйская область,Бишкек,ж/м Биримдик Кут,$ 70 000,от агента,5 соток,в пригороде,"свет, отопление, вода",времянка,"красная книга, технический паспорт, акт ввода в эксплуатацию",есть,есть,с доплатой покупателя
,"Участок, 8.5 соток",Чуйская область,с. Кашка-Суу,,$ 125 000,от агента,8.5 соток,в предгорьях,"свет, отопление, вода",времянка,"договор купли-продажи, красная книга",есть,есть,с доплатой покупателя
,"Участок, 7 соток",Чуйская область,Бишкек,Гагарина,$ 284 990,от агента,7 соток,в предгорьях,"свет, газ, интернет, вода, канализация",времянка,"договор купли-продажи, технический паспорт, красная книга",есть,есть,с доплатой покупателя
,"Участок, 80 соток",Чуйская область,Кемин,,$ 125 000,от агента,80 соток,в предгорьях,"свет, вода","госакт, удобно под коммерцию, удобный въезд, все документы","договор купли-продажи, красная книга",есть,есть,с доплатой покупателя
,"Участок, 6 соток",Иссык-Кульская область,Чолпон-Ата,,$ 18 000,от агента,6 соток,в городе,"интернет, вода, свет","ровный, все документы","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 10 соток",д/п Бек-Тоо,Линия 6,,$ 70 000,от агента,10 соток,в городе,"свет, интернет, вода","сад, огорожен, госакт","договор дарения, красная книга",нет,нет,рассмотрю варианты
,"Участок, 25 соток",Чуйская область,Бишкек,Центральная мечеть,$ 1 500 000,от собственника,25 соток,в городе,"свет, газ, отопление, вода, канализация",все документы,красная книга,нет,нет,рассмотрю варианты
,"Участок, 18 соток",Чуйская область,с. Беш-Кунгей,,$ 280 000,от агента,18 соток,в предгорьях,свет,"госакт, удобно под коммерцию, ровный",договор дарения,нет,нет,рассмотрю варианты
,"Участок, 300 соток",Иссык-Кульская область,с. Кызыл-Суу,,$ 100 000,от агента,300 соток,возле водоема,свет,"госакт, удобно под коммерцию, ровный",договор купли-продажи,нет,нет,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 90 000,от агента,4 сотки,в городе,"газ, свет, вода, канализация","госакт, удобно под коммерцию, ровный","красная книга, технический паспорт, договор купли-продажи",нет,нет,рассмотрю варианты
,"Участок, 18 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 750 000,от агента,18 соток,в городе,"газ, свет, вода, канализация","госакт, удобно под коммерцию, ровный","красная книга, технический паспорт, договор купли-продажи",нет,нет,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Полицейский городок м-н,$ 113 000,от агента,4 сотки,в городе,"свет, газ, вода, канализация","ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт",нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 117 000,от агента,5 соток,в городе,"свет, газ, отопление, вода, телефон, канализация","огорожен, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,с. Беш-Кунгей,,$ 57 500,от агента,5 соток,в городе,"свет, вода","госакт, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 30 соток",Иссык-Кульская область,Балыкчы,,$ 30 000,от агента,30 соток,в городе,"свет, интернет, вода","госакт, удобно под коммерцию, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 127 000,от агента,6 соток,в городе,"свет, газ, отопление, вода, канализация","дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 6.3 соток",Чуйская область,Бишкек,КНУ,$ 400 000,от агента,6.3 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 2922 сотки",Иссык-Кульская область,с. Тамчы,,$ 6 900 000,от собственника,2922 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 150 000,от агента,7 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 20 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м 544/Кара-Жыгач,$ 185 000,от собственника,20 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, красная книга",нет,есть,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 133 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, красная книга",нет,есть,с доплатой покупателя
,"Участок, 8 соток",с. Арашан,Чункурчак,,$ 95 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, красная книга",нет,есть,с доплатой покупателя
,"Участок, 12 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 238 000,от агента,12 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","дом, все документы","договор купли-продажи, красная книга",нет,есть,с доплатой покупателя
,"Участок, 119 соток",Чуйская область,с. Арашан,,$ 57 000,от агента,119 соток,вдоль трассы,вода,"огорожен, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 200 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","фундамент, сад, хозпостройки, огорожен, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 100 соток",Чуйская область,с. Уч-Эмчек,,$ 300 000,от агента,100 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","фундамент, сад, хозпостройки, огорожен, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Ак-Орго ж/м,$ 105 000,от агента,5 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","фундамент, сад, хозпостройки, огорожен, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 100 м2, 16 соток",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 420 000,от агента,16 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация",сад,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 1000 соток",Чуйская область,с. Новопокровка,,$ 250 000,от агента,1000 соток,вдоль трассы,"свет, вода","фундамент, сад, хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,с. им. Фрунзе,,$ 19 500,от агента,4 сотки,вдоль трассы,"свет, вода","фундамент, сад, хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 19 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 600 000,от агента,19 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент","договор купли-продажи, договор дарения, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Таш-Мойнок,,$ 57 000,от агента,5 соток,в пригороде,"свет, вода","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент","технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 3 сотки",Чуйская область,с. Военно-Антоновка,,$ 27 500,от агента,3 сотки,в пригороде,"свет, вода","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент","технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Манаса-Кудрука,$ 120 000,от агента,4 сотки,в пригороде,"свет, вода","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент","технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 9 соток",Чуйская область,с. Арчалы,,$ 77 000,от агента,9 соток,в предгорьях,"свет, вода","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент",красная книга,нет,есть,рассмотрю варианты
,"Участок, 12 соток",Чуйская область,Бишкек,Матросова,$ 800 000,от агента,12 соток,в городе,"свет, вода","огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы, хозпостройки, сад, фундамент","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 185 000,от агента,8 соток,в городе,"свет, вода",дом,"красная книга, технический паспорт",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 180 000,от агента,8 соток,в городе,"вода, свет",дом,красная книга,нет,есть,обмен не предлагать
,"Участок, 5 соток",Иссык-Кульская область,с. Орнок,,$ 22 000,от агента,5 соток,в городе,"вода, свет",дом,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать
